category,variant,config_id,param_spec,rep,P,t_seq_s,t_par_s,speedup,efficiency,rank_found,tests_total,log_file
hard,permuted,R98765,-R 98765,2,4,0.068774,0.377154,.182349,.045587,3,809403,artifacts/round1b-20251028_221003/logs/permuted_R98765_hard_rep2.log
hard,permuted,R98765,-R 98765,3,4,0.068774,0.322577,.213201,.053300,3,752059,artifacts/round1b-20251028_221003/logs/permuted_R98765_hard_rep3.log
easy,permuted,R11111,-R 11111,1,4,0.069152,1.114635,.062040,.015510,-1,2097152,artifacts/round1b-20251028_221003/logs/permuted_R11111_easy_rep1.log
easy,permuted,R11111,-R 11111,2,4,0.069152,0.945880,.073108,.018277,-1,2097152,artifacts/round1b-20251028_221003/logs/permuted_R11111_easy_rep2.log
easy,permuted,R11111,-R 11111,3,4,0.069152,0.932285,.074174,.018543,-1,2097152,artifacts/round1b-20251028_221003/logs/permuted_R11111_easy_rep3.log
med,permuted,R11111,-R 11111,1,4,0.068887,1.996496,.034503,.008625,-1,4194304,artifacts/round1b-20251028_221003/logs/permuted_R11111_med_rep1.log
med,permuted,R11111,-R 11111,2,4,0.068887,1.995531,.034520,.008630,-1,4194304,artifacts/round1b-20251028_221003/logs/permuted_R11111_med_rep2.log
med,permuted,R11111,-R 11111,3,4,0.068887,2.140380,.032184,.008046,-1,4194304,artifacts/round1b-20251028_221003/logs/permuted_R11111_med_rep3.log
hard,permuted,R11111,-R 11111,1,4,0.068774,3.872627,.017759,.004439,-1,8388608,artifacts/round1b-20251028_221003/logs/permuted_R11111_hard_rep1.log
hard,permuted,R11111,-R 11111,2,4,0.068774,4.432864,.015514,.003878,-1,8388608,artifacts/round1b-20251028_221003/logs/permuted_R11111_hard_rep2.log
hard,permuted,R11111,-R 11111,3,4,0.068774,4.191785,.016406,.004101,-1,8388608,artifacts/round1b-20251028_221003/logs/permuted_R11111_hard_rep3.log
