mode_cache,bits,U,L,U_run,category,key,P,variant,chunk_B_or_T_or_R,t_seq_s,t_par_s,speedup,rank_found,tests_total,log_file
no_cache,22,4194304,0,4194304,hard,921826,8,naive,,0.825503,0.769766,1.072408,1,3280982,/home/and/PY2-Paralela/logs/naive_b22_hard_no_cache.txt
no_cache,22,4194304,0,4194304,hard,921826,8,cyclic,,0.825503,0.264160,3.125011,3,871957,/home/and/PY2-Paralela/logs/cyclic_b22_hard_no_cache.txt
no_cache,22,4194304,0,4194304,hard,921826,8,dynamic,B=20000,0.825503,0.333474,2.475464,2,932216,/home/and/PY2-Paralela/logs/dynamic_b22_hard_B20000_no_cache.txt
no_cache,22,4194304,0,4194304,hard,921826,8,dynamic,B=50000,0.825503,0.253828,3.252214,5,962932,/home/and/PY2-Paralela/logs/dynamic_b22_hard_B50000_no_cache.txt
no_cache,22,4194304,0,4194304,hard,921826,8,dynamic,B=100000,0.825503,0.330101,2.500759,5,1256540,/home/and/PY2-Paralela/logs/dynamic_b22_hard_B100000_no_cache.txt
no_cache,22,4194304,0,4194304,hard,921826,8,dynamic_adaptive,T=10,0.825503,0.211469,3.903660,4,937802,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_hard_T10_no_cache.txt
no_cache,22,4194304,0,4194304,hard,921826,8,dynamic_adaptive,T=30,0.825503,0.349060,2.364932,7,954255,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_hard_T30_no_cache.txt
no_cache,22,4194304,0,4194304,hard,921826,8,dynamic_adaptive,T=50,0.825503,0.266908,3.092837,2,1024340,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_hard_T50_no_cache.txt
no_cache,22,4194304,0,4194304,hard,921826,8,permuted,R=12345,0.825503,1.090423,0.757048,,4194304,/home/and/PY2-Paralela/logs/permuted_b22_hard_R12345_no_cache.txt
no_cache,22,4194304,0,4194304,hard,921826,8,permuted,R=54321,0.825503,1.168922,0.706209,,4194304,/home/and/PY2-Paralela/logs/permuted_b22_hard_R54321_no_cache.txt
